"country","odds"
"algeria",1001.00
"argentina",5.00
"australia",1001.00
"belgium",21.00
"bosnia",176.00
"brazil",4.00
"cameroon",501.00
"chile",41.00
"colombia",34.00
"costa",1001.00
"croatia",151.00
"ecuador",201.00
"england",29.00
"france",26.00
"germany",7.50
"ghana",201.00
"greece",301.00
"honduras",1001.00
"iran",1001.00
"italy",26.00
"ivory",126.00
"japan",151.00
"holland",36.00
"mexico",201.00
"nigeria",301.00
"portugal",29.00
"russia",101.00
"korea",401.00
"spain",7.50
"switzerland",126.00
"usa",201.00
"uruguay",29.00
